# Wordlist



# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	WANGID	COGID	SWGLOSS	SWID	PROTO
83	Ningbo	belly	4	肚皮	1a	22	belly	472	肚皮
84	Yingshan	belly	4	肚子	1c	20	belly	472	肚子
85	Chengdu	belly	4	肚子	1c	20	belly	472	肚子
86	Zhanping	belly	4	腹肚	{01}	27	belly	472	腹肚
87	Shanghai	belly	4	肚皮	1b	21	belly	472	肚屎
88	Shanghai_B	belly	4	肚皮	1b	21	belly	472	肚屎
89	Xiamen	belly	4	腹肚	{01}	27	belly	472	腹肚
90	Anyi	belly	4	肚哩	1e	19	belly	472	肚哩
91	Anyi	belly	4	肚子	1c	20	belly	472	肚子
92	Beijing	belly	4	肚子	1c	20	belly	472	肚子
93	Wenzhou	belly	4	肚	1	23	belly	472	肚
94	Taibei	belly	4	pak32腹	0	24	belly	472	pak32腹
95	Wuhan	belly	4	肚子	1c	20	belly	472	肚子
96	Taiyuan	belly	4	肚子	1c	20	belly	472	肚子
97	Yuci	belly	4	肚	1	23	belly	472	肚
98	Changsha	belly	4	肚子	1c	20	belly	472	肚子
99	Shuangfeng	belly	4	肚子	1c	20	belly	472	肚子
#
100	Guangzhou	big	5	大	0	30	big	514	大
101	Suzhou	big	5	大	0	30	big	514	大
102	Meixian	big	5	大	0	30	big	514	大
103	Nanchang	big	5	大	0	30	big	514	大
104	Fuzhou	big	5	大	0	30	big	514	大
105	Ningxia	big	5	大	0	30	big	514	大
106	Lianchang	big	5	大	0	30	big	514	大
107	Lianchang	big	5	篓[同音字]	2	28	big	514	篓[同音字]
108	Ningbo	big	5	大	0	30	big	514	大
109	Yingshan	big	5	大	0	30	big	514	大
110	Chengdu	big	5	大	0	30	big	514	大
111	Zhanping	big	5	大	0	30	big	514	大
112	Shanghai	big	5	du	1	29	big	514	du
113	Shanghai_B	big	5	du	1	29	big	514	du
114	Xiamen	big	5	大	0	30	big	514	大
115	Anyi	big	5	大	0	30	big	514	大
116	Beijing	big	5	大	0	30	big	514	大
117	Wenzhou	big	5	大	0	30	big	514	大
118	Taibei	big	5	tua33大	0	30	big	514	大
119	Wuhan	big	5	大	0	30	big	514	大
120	Taiyuan	big	5	大	0	30	big	514	大
121	Yuci	big	5	大	0	30	big	514	大
122	Changsha	big	5	大	0	30	big	514	大
123	Shuangfeng	big	5	大	0	30	big	514	大
#
124	Guangzhou	bird	6	雀（仔）[小鸟]	2	35	bird	527	雀
125	Guangzhou	bird	6	雀（仔）[小鸟]	2c	38	bird	527	雀（仔）[小鸟]
126	Guangzhou	bird	6	鸟[大鸟]	1	36	bird	527	鸟
127	Suzhou	bird	6	鸟	1	36	bird	527	鸟
128	Meixian	bird	6	鸟子	1c	32	bird	527	鸟子
129	Nanchang	bird	6	鸟	1	36	bird	527	鸟
130	Fuzhou	bird	6	鸟	1	36	bird	527	鸟
131	Ningxia	bird	6	鸟、雀	1	36	bird	527	鸟
132	Lianchang	bird	6	鸟	1	36	bird	527	鸟
133	Ningbo	bird	6	鸟	1	36	bird	527	鸟
134	Yingshan	bird	6	雀（娃儿）	2b	37	bird	527	雀（娃儿）
135	Chengdu	bird	6	雀	2	35	bird	527	雀
136	Zhanping	bird	6	隻仔：读tsi6 a6	3c	39	bird	527	隻仔：读tsi6 a6
137	Shanghai	bird	6	鸟	1	36	bird	527	鸟
138	Shanghai_B	bird	6	鸟	1	36	bird	527	鸟
139	Xiamen	bird	6	tsiau51	4	34	bird	527	tsiau51
140	Anyi	bird	6	雀哩	2a	40	bird	527	雀哩
141	Beijing	bird	6	鸟儿	1b	33	bird	527	鸟儿
142	Wenzhou	bird	6	鸟儿[ti«3 N2]	1b	33	bird	527	鸟儿
143	Taibei	bird	6	tsiau53?	4	34	bird	527	tsiau51
144	Wuhan	bird	6	鸟	1	36	bird	527	鸟
145	Taiyuan	bird	6	鸟	1	36	bird	527	鸟
146	Yuci	bird	6	鸟	1	36	bird	527	鸟
147	Changsha	bird	6	鸟	1	36	bird	527	鸟
148	Shuangfeng	bird	6	鸟即	1d	31	bird	527	鸟即
#
149	Guangzhou	bite	7	咬	1	41	bite (V)	536	咬
150	Suzhou	bite	7	咬	1	41	bite (V)	536	咬
151	Meixian	bite	7	咬	1	41	bite (V)	536	咬
152	Meixian	bite	7	啮	0	42	bite (V)	536	啮
153	Nanchang	bite	7	咬	1	41	bite (V)	536	咬
154	Fuzhou	bite	7	咬	1	41	bite (V)	536	咬
155	Ningxia	bite	7	咬	1	41	bite (V)	536	咬
156	Lianchang	bite	7	咬	1	41	bite (V)	536	咬
157	Ningbo	bite	7	咬	1	41	bite (V)	536	咬
158	Yingshan	bite	7	咬	1	41	bite (V)	536	咬
159	Chengdu	bite	7	咬	1	41	bite (V)	536	咬
160	Zhanping	bite	7	咬	1	41	bite (V)	536	咬
161	Shanghai	bite	7	咬	1	41	bite (V)	536	咬
162	Shanghai_B	bite	7	咬	1	41	bite (V)	536	咬
