# Wordlist
@json: {"seeds": ["Nanchang,Yuci,Shanghai", "Fuzhou,Yingshan,Beijing"]}

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	WANGID	COGID	SWGLOSS	SWID	PROTO	SEEDID	LOAN
126	Guangzhou	bird	6	鸟[大鸟]	1	36	bird	527	鸟	36	0
127	Suzhou	bird	6	鸟	1	36	bird	527	鸟	36	0
128	Meixian	bird	6	鸟子	1c	32	bird	527	鸟子	32	0
129	Nanchang	bird	6	鸟	1	36	bird	527	鸟	36	0
130	Fuzhou	bird	6	鸟	1	36	bird	527	鸟	36	0
131	Ningxia	bird	6	鸟、雀	1	36	bird	527	鸟	36	0
132	Lianchang	bird	6	鸟	1	36	bird	527	鸟	36	0
133	Ningbo	bird	6	鸟	1	36	bird	527	鸟	36	0
134	Yingshan	bird	6	雀（娃儿）	2b	37	bird	527	雀（娃儿）	37	0
135	Chengdu	bird	6	雀	2	35	bird	527	雀	35	0
136	Zhanping	bird	6	隻仔：读tsi6 a6	3c	39	bird	527	隻仔：读tsi6 a6	39	0
137	Shanghai	bird	6	鸟	1	36	bird	527	鸟	33	1
138	Shanghai_B	bird	6	鸟	1	36	bird	527	鸟	36	0
139	Xiamen	bird	6	tsiau51	4	34	bird	527	tsiau51	34	0
140	Anyi	bird	6	雀哩	2a	40	bird	527	雀哩	40	0
141	Beijing	bird	6	鸟儿	1b	33	bird	527	鸟儿	33	0
142	Wenzhou	bird	6	鸟儿[ti«3 N2]	1b	33	bird	527	鸟儿	33	0
143	Taibei	bird	6	tsiau53?	4	34	bird	527	tsiau51	34	0
144	Wuhan	bird	6	鸟	1	36	bird	527	鸟	36	0
145	Taiyuan	bird	6	鸟	1	36	bird	527	鸟	36	0
146	Yuci	bird	6	鸟	1	36	bird	527	鸟	36	0
147	Changsha	bird	6	鸟	1	36	bird	527	鸟	36	0
148	Shuangfeng	bird	6	鸟即	1d	31	bird	527	鸟即	31	0
#
149	Guangzhou	bite	7	咬	1	41	bite (V)	536	咬	41	0
150	Suzhou	bite	7	咬	1	41	bite (V)	536	咬	41	0
151	Meixian	bite	7	咬	1	41	bite (V)	536	咬	41	0
152	Meixian	bite	7	啮	0	42	bite (V)	536	啮	42	0
153	Nanchang	bite	7	咬	1	41	bite (V)	536	咬	41	0
154	Fuzhou	bite	7	咬	1	41	bite (V)	536	咬	41	0
155	Ningxia	bite	7	咬	1	41	bite (V)	536	咬	41	0
156	Lianchang	bite	7	咬	1	41	bite (V)	536	咬	41	0
157	Ningbo	bite	7	咬	1	41	bite (V)	536	咬	41	0
158	Yingshan	bite	7	咬	1	41	bite (V)	536	咬	41	0
159	Chengdu	bite	7	咬	1	41	bite (V)	536	咬	41	0
160	Zhanping	bite	7	咬	1	41	bite (V)	536	咬	41	0
161	Shanghai	bite	7	咬	1	41	bite (V)	536	咬	41	0
162	Shanghai_B	bite	7	咬	1	41	bite (V)	536	咬	41	0
163	Xiamen	bite	7	咬	1	41	bite (V)	536	咬	41	0
164	Anyi	bite	7	啮(ngat8)	0	42	bite (V)	536	啮	42	0
165	Beijing	bite	7	咬	1	41	bite (V)	536	咬	41	0
166	Wenzhou	bite	7	咬	1	41	bite (V)	536	咬	41	0
